date,close,predict,prob_up,real,correct,ret,equity,idx
2024-12-16,27.36,跌↓,39.5,跌↓,✓,-0.66%,0.6765,523
2024-12-17,27.18,跌↓,48.4,涨↑,✗,+1.55%,0.6765,524
2024-12-18,27.6,跌↓,41.8,涨↑,✗,+1.88%,0.6765,525
2024-12-19,28.12,跌↓,43.0,涨↑,✗,+2.99%,0.6765,526
2024-12-20,28.96,跌↓,39.7,跌↓,✓,-3.00%,0.6765,527
2024-12-23,28.09,跌↓,45.8,涨↑,✗,+1.46%,0.6765,528
2024-12-24,28.5,跌↓,35.9,跌↓,✓,-1.37%,0.6765,529
2024-11-27,27.45,跌↓,52.7,跌↓,✓,-0.98%,0.6765,510
2024-11-28,27.18,跌↓,53.9,涨↑,✗,+1.84%,0.6765,511
2024-11-29,27.68,涨↑,60.2,涨↑,✓,+1.59%,0.6872,512
2024-12-02,28.12,跌↓,48.5,跌↓,✓,-1.28%,0.6872,513
2024-12-03,27.76,跌↓,50.2,涨↑,✗,+1.80%,0.6872,514
2024-12-04,28.26,跌↓,40.8,跌↓,✓,-0.35%,0.6872,515
2024-12-05,28.16,跌↓,41.1,涨↑,✗,+0.46%,0.6872,516
2024-12-06,28.29,跌↓,51.0,跌↓,✓,-1.77%,0.6872,517
2024-12-09,27.79,涨↑,55.7,涨↑,✓,+0.04%,0.6875,518
2024-12-10,27.8,跌↓,50.7,涨↑,✗,+0.86%,0.6875,519
2024-12-11,28.04,跌↓,46.6,跌↓,✓,-0.39%,0.6875,520
2024-12-12,27.93,跌↓,42.9,涨↑,✗,+0.68%,0.6875,521
2024-12-13,28.12,跌↓,47.3,跌↓,✓,-2.70%,0.6875,522
2024-12-16,27.36,跌↓,38.4,跌↓,✓,-0.66%,0.6875,523
2024-12-17,27.18,跌↓,47.0,涨↑,✗,+1.55%,0.6875,524
2024-12-18,27.6,跌↓,41.3,涨↑,✗,+1.88%,0.6875,525
2024-12-19,28.12,跌↓,43.9,涨↑,✗,+2.99%,0.6875,526
2024-12-20,28.96,跌↓,37.3,跌↓,✓,-3.00%,0.6875,527
2024-12-23,28.09,跌↓,44.6,涨↑,✗,+1.46%,0.6875,528
2024-12-24,28.5,跌↓,34.2,跌↓,✓,-1.37%,0.6875,529
2024-12-25,28.11,跌↓,36.3,涨↑,✗,+1.46%,0.6875,530
2024-12-26,28.52,跌↓,33.3,跌↓,✓,-1.26%,0.6875,531
2024-12-27,28.16,跌↓,32.9,跌↓,✓,-2.84%,0.6875,532
2024-12-30,27.36,跌↓,41.6,跌↓,✓,-4.90%,0.6875,533
2024-12-31,26.02,跌↓,48.5,跌↓,✓,-5.07%,0.6875,534
2025-01-02,24.7,涨↑,55.9,跌↓,✗,-2.83%,0.668,535
2025-01-03,24.0,跌↓,53.8,涨↑,✗,+0.37%,0.668,536
2025-01-06,24.09,跌↓,51.8,涨↑,✗,+3.57%,0.668,537
2025-01-07,24.95,涨↑,62.7,跌↓,✗,-1.08%,0.6608,538
2025-01-08,24.68,涨↑,61.6,跌↓,✗,-0.04%,0.6605,539
2024-12-11,28.04,跌↓,50.7,跌↓,✓,-0.39%,0.6605,520
2024-12-12,27.93,跌↓,46.6,涨↑,✗,+0.68%,0.6605,521
2024-12-13,28.12,跌↓,47.0,跌↓,✓,-2.70%,0.6605,522
2024-12-16,27.36,跌↓,38.2,跌↓,✓,-0.66%,0.6605,523
2024-12-17,27.18,跌↓,43.7,涨↑,✗,+1.55%,0.6605,524
2024-12-18,27.6,跌↓,39.0,涨↑,✗,+1.88%,0.6605,525
2024-12-19,28.12,跌↓,41.5,涨↑,✗,+2.99%,0.6605,526
2024-12-20,28.96,跌↓,37.5,跌↓,✓,-3.00%,0.6605,527
2024-12-23,28.09,跌↓,42.2,涨↑,✗,+1.46%,0.6605,528
2024-12-24,28.5,跌↓,32.5,跌↓,✓,-1.37%,0.6605,529
2024-12-25,28.11,跌↓,42.0,涨↑,✗,+1.46%,0.6605,530
2024-12-26,28.52,跌↓,34.9,跌↓,✓,-1.26%,0.6605,531
2024-12-27,28.16,跌↓,37.7,跌↓,✓,-2.84%,0.6605,532
2024-12-30,27.36,跌↓,42.0,跌↓,✓,-4.90%,0.6605,533
2024-12-31,26.02,跌↓,47.2,跌↓,✓,-5.07%,0.6605,534
2025-01-02,24.7,涨↑,55.1,跌↓,✗,-2.83%,0.6418,535
2025-01-03,24.0,涨↑,54.6,涨↑,✓,+0.37%,0.6442,536
2025-01-06,24.09,跌↓,49.9,涨↑,✗,+3.57%,0.6442,537
2025-01-07,24.95,涨↑,61.6,跌↓,✗,-1.08%,0.6372,538
2025-01-08,24.68,涨↑,59.9,跌↓,✗,-0.04%,0.637,539
2025-01-09,24.67,涨↑,58.1,跌↓,✗,-1.82%,0.6253,540
2025-01-10,24.22,跌↓,52.2,涨↑,✗,+0.66%,0.6253,541
2025-01-13,24.38,涨↑,54.1,涨↑,✓,+4.22%,0.6518,542
2025-01-14,25.41,涨↑,61.1,跌↓,✗,-0.79%,0.6466,543
2025-01-15,25.21,涨↑,61.1,跌↓,✗,-0.36%,0.6443,544
2025-01-16,25.12,跌↓,50.5,涨↑,✗,+1.27%,0.6443,545
2025-01-17,25.44,跌↓,52.8,跌↓,✓,-0.04%,0.6443,546
2025-01-20,25.43,涨↑,56.7,涨↑,✓,+0.04%,0.6446,547
2025-01-21,25.44,跌↓,48.1,跌↓,✓,-0.71%,0.6446,548
2025-01-22,25.26,跌↓,44.9,涨↑,✗,+1.94%,0.6446,549
2024-12-25,28.11,跌↓,45.1,涨↑,✗,+1.46%,0.6446,530
2024-12-26,28.52,跌↓,35.6,跌↓,✓,-1.26%,0.6446,531
2024-12-27,28.16,跌↓,39.1,跌↓,✓,-2.84%,0.6446,532
2024-12-30,27.36,跌↓,45.8,跌↓,✓,-4.90%,0.6446,533
2024-12-31,26.02,跌↓,45.5,跌↓,✓,-5.07%,0.6446,534
2025-01-02,24.7,涨↑,55.9,跌↓,✗,-2.83%,0.6263,535
2025-01-03,24.0,涨↑,57.0,涨↑,✓,+0.37%,0.6287,536
2025-01-06,24.09,跌↓,48.6,涨↑,✗,+3.57%,0.6287,537
2025-01-07,24.95,涨↑,60.9,跌↓,✗,-1.08%,0.6219,538
2025-01-08,24.68,涨↑,58.4,跌↓,✗,-0.04%,0.6216,539
2025-01-09,24.67,涨↑,59.6,跌↓,✗,-1.82%,0.6103,540
2025-01-10,24.22,涨↑,56.9,涨↑,✓,+0.66%,0.6143,541
2025-01-13,24.38,涨↑,58.5,涨↑,✓,+4.22%,0.6403,542
2025-01-14,25.41,涨↑,60.6,跌↓,✗,-0.79%,0.6352,543
2025-01-15,25.21,涨↑,61.0,跌↓,✗,-0.36%,0.6329,544
2025-01-16,25.12,跌↓,46.4,涨↑,✗,+1.27%,0.6329,545
2025-01-17,25.44,跌↓,47.2,跌↓,✓,-0.04%,0.6329,546
2025-01-20,25.43,涨↑,55.8,涨↑,✓,+0.04%,0.6332,547
2025-01-21,25.44,跌↓,42.5,跌↓,✓,-0.71%,0.6332,548
2025-01-22,25.26,跌↓,43.0,涨↑,✗,+1.94%,0.6332,549
2025-01-23,25.75,跌↓,45.3,涨↑,✗,+0.39%,0.6332,550
2025-01-24,25.85,跌↓,47.4,跌↓,✓,-3.02%,0.6332,551
2025-01-27,25.07,涨↑,60.0,涨↑,✓,+2.79%,0.6509,552
2025-02-05,25.77,跌↓,41.6,涨↑,✗,+2.64%,0.6509,553
2025-02-06,26.45,跌↓,48.5,涨↑,✗,+0.34%,0.6509,554
2025-02-07,26.54,跌↓,52.2,涨↑,✗,+1.02%,0.6509,555
2025-02-10,26.81,跌↓,47.1,跌↓,✓,-1.83%,0.6509,556
2025-02-11,26.32,跌↓,48.0,涨↑,✗,+3.65%,0.6509,557
2025-02-12,27.28,跌↓,46.2,跌↓,✓,-2.31%,0.6509,558
2025-02-13,26.65,涨↑,54.3,涨↑,✓,+0.53%,0.6543,559
2025-01-09,24.67,涨↑,56.5,跌↓,✗,-1.82%,0.6424,540
2025-01-10,24.22,涨↑,59.5,涨↑,✓,+0.66%,0.6466,541
2025-01-13,24.38,涨↑,60.8,涨↑,✓,+4.22%,0.6739,542
2025-01-14,25.41,涨↑,60.4,跌↓,✗,-0.79%,0.6686,543
2025-01-15,25.21,涨↑,61.0,跌↓,✗,-0.36%,0.6662,544
2025-01-16,25.12,跌↓,50.7,涨↑,✗,+1.27%,0.6662,545
2025-01-17,25.44,跌↓,47.9,跌↓,✓,-0.04%,0.6662,546
2025-01-20,25.43,涨↑,55.1,涨↑,✓,+0.04%,0.6665,547
2025-01-21,25.44,跌↓,46.4,跌↓,✓,-0.71%,0.6665,548
2025-01-22,25.26,跌↓,48.0,涨↑,✗,+1.94%,0.6665,549
2025-01-23,25.75,跌↓,44.0,涨↑,✗,+0.39%,0.6665,550
2025-01-24,25.85,跌↓,46.7,跌↓,✓,-3.02%,0.6665,551
2025-01-27,25.07,涨↑,57.0,涨↑,✓,+2.79%,0.6851,552
2025-02-05,25.77,跌↓,42.1,涨↑,✗,+2.64%,0.6851,553
2025-02-06,26.45,跌↓,43.1,涨↑,✗,+0.34%,0.6851,554
2025-02-07,26.54,跌↓,48.0,涨↑,✗,+1.02%,0.6851,555
2025-02-10,26.81,跌↓,44.6,跌↓,✓,-1.83%,0.6851,556
2025-02-11,26.32,跌↓,44.3,涨↑,✗,+3.65%,0.6851,557
2025-02-12,27.28,跌↓,44.6,跌↓,✓,-2.31%,0.6851,558
2025-02-13,26.65,跌↓,50.4,涨↑,✗,+0.53%,0.6851,559
2025-02-14,26.79,跌↓,42.6,跌↓,✓,-0.52%,0.6851,560
2025-02-17,26.65,跌↓,39.8,跌↓,✓,-3.49%,0.6851,561
2025-02-18,25.72,跌↓,38.2,涨↑,✗,+3.81%,0.6851,562
2025-02-19,26.7,跌↓,33.8,跌↓,✓,-0.15%,0.6851,563
2025-02-20,26.66,跌↓,33.7,涨↑,✗,+1.65%,0.6851,564
2025-02-21,27.1,跌↓,39.2,涨↑,✗,+0.15%,0.6851,565
2025-02-24,27.14,跌↓,36.0,跌↓,✓,-0.44%,0.6851,566
2025-02-25,27.02,跌↓,39.6,涨↑,✗,+0.22%,0.6851,567
2025-02-26,27.08,跌↓,36.5,跌↓,✓,-0.81%,0.6851,568
2025-02-27,26.86,跌↓,39.8,跌↓,✓,-5.03%,0.6851,569
2025-01-23,25.75,跌↓,43.8,涨↑,✗,+0.39%,0.6851,550
2025-01-24,25.85,跌↓,44.9,跌↓,✓,-3.02%,0.6851,551
2025-01-27,25.07,涨↑,61.6,涨↑,✓,+2.79%,0.7042,552
2025-02-05,25.77,跌↓,44.3,涨↑,✗,+2.64%,0.7042,553
2025-02-06,26.45,跌↓,43.9,涨↑,✗,+0.34%,0.7042,554
2025-02-07,26.54,跌↓,47.8,涨↑,✗,+1.02%,0.7042,555
2025-02-10,26.81,跌↓,50.0,跌↓,✓,-1.83%,0.7042,556
2025-02-11,26.32,涨↑,53.8,涨↑,✓,+3.65%,0.7299,557
2025-02-12,27.28,跌↓,46.2,跌↓,✓,-2.31%,0.7299,558
2025-02-13,26.65,涨↑,54.3,涨↑,✓,+0.53%,0.7338,559
2025-02-14,26.79,跌↓,46.9,跌↓,✓,-0.52%,0.7338,560
2025-02-17,26.65,跌↓,43.3,跌↓,✓,-3.49%,0.7338,561
