date,close,predict,prob_up,real,correct,ret,equity
2024-08-14,1413.3,跌↓,46.7,涨↑,✗,+0.96%,0.8322
2024-08-15,1426.89,跌↓,63.9,涨↑,✗,+0.30%,0.8322
2024-08-16,1431.2,跌↓,42.4,跌↓,✓,-0.40%,0.8322
2024-08-19,1425.44,跌↓,53.1,跌↓,✓,-0.19%,0.8322
2024-08-20,1422.72,跌↓,40.5,跌↓,✓,-0.36%,0.8322
2024-08-21,1417.58,跌↓,50.8,跌↓,✓,-0.53%,0.8322
2024-08-22,1410.05,跌↓,42.5,涨↑,✗,+0.35%,0.8322
2024-08-23,1414.99,跌↓,40.3,跌↓,✓,-0.21%,0.8322
2024-07-29,1398.02,跌↓,56.5,跌↓,✓,-1.29%,0.8322
2024-07-30,1379.99,跌↓,56.6,涨↑,✗,+2.99%,0.8322
2024-07-31,1421.28,跌↓,59.3,跌↓,✓,-2.47%,0.8322
2024-08-01,1386.16,跌↓,52.3,跌↓,✓,-0.05%,0.8322
2024-08-02,1385.45,跌↓,43.9,涨↑,✗,+1.77%,0.8322
2024-08-05,1410.01,跌↓,59.5,跌↓,✓,-0.38%,0.8322
2024-08-06,1404.7,涨↑,71.1,涨↑,✓,+0.77%,0.8386
2024-08-07,1415.5,涨↑,65.5,涨↑,✓,+1.07%,0.8476
2024-08-08,1430.69,跌↓,55.0,涨↑,✗,+0.43%,0.8476
2024-08-09,1436.8,涨↑,63.6,跌↓,✗,-0.05%,0.8472
2024-08-12,1436.1,跌↓,62.1,跌↓,✓,-0.91%,0.8472
2024-08-13,1423.01,跌↓,48.6,跌↓,✓,-0.68%,0.8472
2024-08-14,1413.3,跌↓,43.5,涨↑,✗,+0.96%,0.8472
2024-08-15,1426.89,跌↓,62.2,涨↑,✗,+0.30%,0.8472
2024-08-16,1431.2,跌↓,42.3,跌↓,✓,-0.40%,0.8472
2024-08-19,1425.44,跌↓,53.5,跌↓,✓,-0.19%,0.8472
2024-08-20,1422.72,跌↓,39.6,跌↓,✓,-0.36%,0.8472
2024-08-21,1417.58,跌↓,53.6,跌↓,✓,-0.53%,0.8472
2024-08-22,1410.05,跌↓,41.7,涨↑,✗,+0.35%,0.8472
2024-08-23,1414.99,跌↓,39.7,跌↓,✓,-0.21%,0.8472
2024-08-26,1412.0,跌↓,39.3,跌↓,✓,-0.56%,0.8472
2024-08-27,1404.07,跌↓,32.3,跌↓,✓,-1.07%,0.8472
2024-08-28,1389.0,跌↓,34.3,涨↑,✗,+1.75%,0.8472
2024-08-29,1413.3,跌↓,47.9,涨↑,✗,+2.11%,0.8472
2024-08-30,1443.19,跌↓,43.7,跌↓,✓,-3.34%,0.8472
2024-09-02,1395.0,跌↓,48.5,涨↑,✗,+1.08%,0.8472
2024-09-03,1410.0,跌↓,49.2,跌↓,✓,-0.71%,0.8472
2024-09-04,1400.0,跌↓,52.9,涨↑,✗,+0.35%,0.8472
2024-09-05,1404.88,跌↓,51.5,跌↓,✓,-0.49%,0.8472
2024-09-06,1398.0,跌↓,44.8,跌↓,✓,-1.65%,0.8472
2024-08-12,1436.1,跌↓,55.9,跌↓,✓,-0.91%,0.8472
2024-08-13,1423.01,跌↓,42.4,跌↓,✓,-0.68%,0.8472
2024-08-14,1413.3,跌↓,37.7,涨↑,✗,+0.96%,0.8472
2024-08-15,1426.89,跌↓,51.7,涨↑,✗,+0.30%,0.8472
2024-08-16,1431.2,跌↓,37.0,跌↓,✓,-0.40%,0.8472
2024-08-19,1425.44,跌↓,50.9,跌↓,✓,-0.19%,0.8472
2024-08-20,1422.72,跌↓,37.5,跌↓,✓,-0.36%,0.8472
2024-08-21,1417.58,跌↓,50.6,跌↓,✓,-0.53%,0.8472
2024-08-22,1410.05,跌↓,38.9,涨↑,✗,+0.35%,0.8472
2024-08-23,1414.99,跌↓,37.2,跌↓,✓,-0.21%,0.8472
2024-08-26,1412.0,跌↓,36.3,跌↓,✓,-0.56%,0.8472
2024-08-27,1404.07,跌↓,30.8,跌↓,✓,-1.07%,0.8472
2024-08-28,1389.0,跌↓,34.9,涨↑,✗,+1.75%,0.8472
2024-08-29,1413.3,跌↓,47.3,涨↑,✗,+2.11%,0.8472
2024-08-30,1443.19,跌↓,43.5,跌↓,✓,-3.34%,0.8472
2024-09-02,1395.0,跌↓,45.7,涨↑,✗,+1.08%,0.8472
