排名,代码,名称,回调深度,收盘价,综合得分,技术得分,ROE得分,增长得分,EPS得分,综合排名分,ROE(%),净利润增长(%),每股收益,近10日涨幅%,详细理由
29,1337,四川黄金,中回调,48.95,10.5,33.6,6.7,4.8,2.7,22.45,5.34,24.12,0.183,6.3,上涨:近10日+6% | 回调至MA20(49.05):-0.2% | MACD红柱(已启动) | RSI14=61(正常区) | KDJ金叉(K=56) | 乖离正常:BIAS20=-0.2% | 量能健康(0.6xMA20)
30,1234,泰慕士,中回调,26.65,10.0,32.0,4.0,20.0,4.1,22.4,3.18,112.3,0.276,2.9,小幅涨:近10日+3% | 回调至MA20(26.09):+2.1% | MACD红柱(已启动) | RSI14=61(正常区) | KDJ金叉(K=61) | 乖离正常:BIAS20=2.1% | 量开始放大
31,688766,普冉股份,中回调,252.78,11.0,35.2,3.1,0.0,9.9,22.4,2.51,,0.661,5.3,小幅涨:近10日+5% | 回调至MA20(250.57):+0.9% | MACD红柱(已启动) | RSI14=41(回升区) | KDJ金叉(K=66) | 乖离正常:BIAS20=0.9% | 量能健康(0.8xMA20)
32,688295,中复神鹰,中回调,52.49,11.5,36.8,1.1,0.0,0.7,22.38,0.86,-68.12,0.046,-7.4,强势:近20日+17% | 回调至MA20(55.25):-5.0% | RSI14=45(回升区) | RSI6金叉RSI14 | KDJ金叉(K=25) | 乖离正常:BIAS20=-5.0% | 量能健康(0.9xMA20) | 量开始放大
33,21,深科技,中回调,28.25,11.0,35.2,1.4,8.3,1.7,22.38,1.11,41.27,0.111,2.8,小幅涨:近10日+3% | 回调至MA20(28.63):-1.3% | MACD红柱(已启动) | RSI14=49(回升区) | KDJ金叉(K=68) | 乖离正常:BIAS20=-1.3% | 量能健康(0.7xMA20)
34,601600,中国铝业,中回调,12.16,10.5,33.6,4.4,7.9,3.5,22.24,3.55,39.55,0.236,6.3,上涨:近10日+6% | 回调至MA20(11.89):+2.2% | MACD红柱(已启动) | RSI14=62(正常区) | KDJ金叉(K=68) | 乖离正常:BIAS20=2.2% | 量能健康(0.7xMA20)
35,788,北大医药,轻回调,6.14,10.0,32.0,3.8,20.0,1.1,22.19,3.0,163.79,0.074,3.9,小幅涨:近10日+4% | 回调至MA10下:-6.3% | MACD红柱(已启动) | RSI14=61(正常区) | KDJ超卖J=2 | 乖离正常:BIAS20=-0.5% | 量能健康(1.2xMA20)
36,300991,创益通,中回调,51.38,11.5,36.8,0.4,0.0,0.2,22.19,0.32,,0.012,4.8,小幅涨:近10日+5% | 回调至MA20(51.64):-0.5% | MACD红柱(已启动) | RSI14=54(回升区) | KDJ金叉(K=64) | 乖离正常:BIAS20=-0.5% | 量能健康(1.5xMA20) | 量开始放大
37,688292,浩瀚深度,中回调,24.17,11.5,36.8,0.3,0.0,0.3,22.18,0.27,,0.018,2.2,小幅涨:近10日+2% | 回调至MA20(23.99):+0.8% | MACD红柱(已启动) | RSI14=59(正常区) | RSI6金叉RSI14 | KDJ金叉(K=63) | 乖离正常:BIAS20=0.8% | 量能健康(0.7xMA20)
38,300319,麦捷科技,中回调,12.21,11.0,35.2,1.8,4.7,1.1,22.1,1.46,23.46,0.073,6.4,上涨:近10日+6% | 回调至MA20(12.01):+1.6% | MACD红柱(已启动) | RSI14=56(正常区) | KDJ金叉(K=69) | 乖离正常:BIAS20=1.6% | 量能健康(1.0xMA20) | 量开始放大
39,688061,灿瑞科技,中回调,31.88,11.5,36.8,0.0,0.0,0.0,22.08,-0.17,,,4.3,小幅涨:近10日+4% | 回调至MA20(31.60):+0.9% | MACD红柱(已启动) | RSI14=51(回升区) | KDJ金叉(K=65) | 乖离正常:BIAS20=0.9% | 量能健康(0.8xMA20) | 量开始放大
40,605296,神农集团,中回调,29.25,11.5,36.8,0.0,0.0,0.0,22.08,-0.08,,,3.0,小幅涨:近10日+3% | 回调至MA20(29.05):+0.7% | MACD绿柱收窄(-0.0079) | RSI14=48(回升区) | KDJ金叉(K=66) | 乖离正常:BIAS20=0.7% | 量能健康(1.1xMA20) | 量开始放大
41,300623,捷捷微电,中回调,28.14,10.0,32.0,3.0,20.0,1.9,22.04,2.39,289.11,0.128,2.7,小幅涨:近10日+3% | 回调至MA20(27.92):+0.8% | MACD红柱(已启动) | RSI14=59(正常区) | KDJ金叉(K=64) | 乖离正常:BIAS20=0.8% | 量能健康(0.9xMA20)
42,1282,三联锻造,中回调,20.96,10.5,33.6,2.5,10.6,3.9,22.03,1.98,53.03,0.258,5.6,小幅涨:近10日+6% | 回调至MA20(20.42):+2.7% | MACD红柱(已启动) | RSI14=64(正常区) | KDJ金叉(K=60) | 乖离正常:BIAS20=2.7% | 量能健康(1.7xMA20) | 量开始放大
43,603219,富佳股份,中回调,16.41,10.0,32.0,3.8,18.0,1.3,22.01,3.04,89.89,0.086,5.7,小幅涨:近10日+6% | 回调至MA20(16.42):-0.1% | MACD红柱(已启动) | RSI14=61(正常区) | KDJ金叉(K=67) | 乖离正常:BIAS20=-0.1% | 量能健康(0.7xMA20)
44,600182,S佳通,中回调,14.21,10.0,32.0,4.6,14.2,4.1,21.97,3.66,71.18,0.273,3.3,小幅涨:近10日+3% | 回调至MA20(13.85):+2.6% | MACD红柱(已启动) | RSI14=64(正常区) | KDJ金叉(K=64) | 乖离正常:BIAS20=2.6% | 量开始放大
45,300952,恒辉安防,中回调,36.19,10.0,32.0,2.4,20.0,2.5,21.94,1.96,99.93,0.169,3.3,小幅涨:近10日+3% | 回调至MA20(36.34):-0.4% | MACD红柱(已启动) | RSI14=60(正常区) | KDJ金叉(K=60) | 乖离正常:BIAS20=-0.4% | 量能健康(0.8xMA20)
46,3041,真爱美家,中回调,51.72,10.0,32.0,2.4,20.0,2.7,21.94,1.94,105.56,0.183,2.7,小幅涨:近10日+3% | 回调至MA20(53.03):-2.5% | MACD红柱(已启动) | RSI14=56(正常区) | KDJ金叉(K=61) | 乖离正常:BIAS20=-2.5% | 量能健康(0.6xMA20)
47,603583,捷昌驱动,中回调,33.14,10.0,32.0,2.1,20.0,2.7,21.85,1.66,356.66,0.178,4.1,小幅涨:近10日+4% | 回调至MA20(32.60):+1.7% | MACD红柱(已启动) | RSI14=64(正常区) | KDJ金叉(K=61) | 乖离正常:BIAS20=1.7% | 量能健康(0.8xMA20)
48,300337,银邦股份,中回调,12.69,10.0,32.0,2.2,20.0,0.5,21.77,1.74,133.62,0.035,4.2,小幅涨:近10日+4% | 回调至MA20(12.56):+1.1% | MACD红柱(已启动) | RSI14=60(正常区) | KDJ金叉(K=44) | 乖离正常:BIAS20=1.1% | 量能健康(0.6xMA20)
49,300017,网宿科技,布林撑,18.16,10.5,33.6,1.8,10.5,0.9,21.7,1.41,52.7,0.058,4.2,小幅涨:近10日+4% | 布林下轨(16.02)获撑 | MACD红柱(已启动) | RSI14=58(正常区) | RSI6金叉RSI14 | KDJ金叉(K=68) | 量能健康(1.2xMA20) | 量开始放大
50,603269,海鸥股份,中回调,14.55,10.0,32.0,1.6,20.0,1.2,21.66,1.28,547.45,0.081,4.6,小幅涨:近10日+5% | 回调至MA20(14.16):+2.8% | MACD红柱(已启动) | RSI14=59(正常区) | KDJ金叉(K=68) | 乖离正常:BIAS20=2.8% | 量能健康(1.0xMA20)
51,688352,颀中科技,中回调,12.67,10.0,32.0,1.6,20.0,1.0,21.65,1.3,150.51,0.065,3.3,小幅涨:近10日+3% | 回调至MA20(12.52):+1.2% | MACD红柱(已启动) | RSI14=65(正常区) | KDJ金叉(K=64) | 乖离正常:BIAS20=1.2% | 量能健康(0.9xMA20)
52,300566,激智科技,中回调,18.29,10.0,32.0,3.3,14.5,2.8,21.61,2.62,72.52,0.184,2.5,小幅涨:近10日+2% | 回调至MA20(18.35):-0.3% | MACD红柱(已启动) | RSI14=58(正常区) | KDJ金叉(K=70) | 乖离正常:BIAS20=-0.3% | 量能健康(0.6xMA20)
53,300383,光环新网,布林撑,17.6,11.0,35.2,1.6,0.0,1.4,21.6,1.3,-1.96,0.092,1.6,强势:近20日+16% | 布林下轨(14.81)获撑 | MACD红柱(已启动) | RSI14=61(正常区) | RSI6金叉RSI14 | KDJ金叉(K=57) | 量能健康(0.7xMA20)
54,300775,三角防务,中回调,37.02,10.5,33.6,4.6,0.0,5.7,21.59,3.66,-4.04,0.381,8.0,上涨:近10日+8% | 回调至MA20(36.08):+2.6% | MACD红柱(已启动) | RSI14=65(正常区) | KDJ金叉(K=59) | 乖离正常:BIAS20=2.6% | 量能健康(0.6xMA20)
55,1239,永达股份,中回调,15.36,11.0,35.2,1.6,0.0,1.0,21.57,1.28,-11.51,0.066,7.5,上涨:近10日+7% | 回调至MA20(15.27):+0.6% | MACD红柱(已启动) | RSI14=59(正常区) | KDJ金叉(K=60) | 乖离正常:BIAS20=0.6% | 量能健康(0.9xMA20) | 量开始放大
56,300249,依米康,中回调,17.26,11.0,35.2,1.6,0.0,0.2,21.52,1.26,,0.012,5.4,小幅涨:近10日+5% | 回调至MA20(16.86):+2.4% | MACD红柱(已启动) | RSI14=54(回升区) | KDJ金叉(K=68) | 乖离正常:BIAS20=2.4% | 量能健康(0.9xMA20)
57,600219,南山铝业,中回调,6.16,10.0,32.0,2.2,17.0,1.3,21.52,1.79,84.86,0.088,4.4,小幅涨:近10日+4% | 回调至MA20(6.21):-0.9% | MACD红柱(已启动) | RSI14=59(正常区) | KDJ金叉(K=53) | 乖离正常:BIAS20=-0.9% | 量能健康(0.6xMA20)
58,603619,中曼石油,布林撑,37.27,10.0,32.0,7.8,0.0,6.9,21.49,6.21,-12.99,0.462,5.8,小幅涨:近10日+6% | 布林下轨(33.07)获撑 | MACD红柱(已启动) | RSI14=54(回升区) | KDJ金叉(K=67) | 量能健康(1.1xMA20) | 量开始放大
59,603655,朗博科技,中回调,39.48,10.0,32.0,1.2,19.4,0.7,21.47,0.94,96.97,0.048,4.4,小幅涨:近10日+4% | 回调至MA20(38.36):+2.9% | MACD红柱(已启动) | RSI14=63(正常区) | KDJ金叉(K=68) | 乖离正常:BIAS20=2.9% | 量能健康(0.7xMA20)
60,300433,蓝思科技,中回调,29.71,10.0,32.0,0.8,20.0,1.0,21.45,0.66,375.25,0.063,3.5,小幅涨:近10日+4% | 回调至MA20(29.12):+2.0% | MACD红柱(已启动) | RSI14=61(正常区) | KDJ金叉(K=70) | 乖离正常:BIAS20=2.0% | 量能健康(1.3xMA20)
61,688015,交控科技,中回调,22.47,10.0,32.0,0.6,20.0,1.6,21.44,0.5,115.35,0.108,4.5,小幅涨:近10日+4% | 回调至MA20(22.16):+1.4% | MACD红柱(已启动) | RSI14=64(正常区) | KDJ金叉(K=54) | 乖离正常:BIAS20=1.4% | 量能健康(0.7xMA20)
62,688506,百利天恒,深回调,299.95,7.5,24.0,25.0,0.0,15.0,21.4,97.08,,12.482,4.6,强势:近20日+17% | 回调至MA60(285.39) | MACD红柱(已启动) | RSI14=64(正常区) | 量能健康(0.8xMA20)
63,2046,国机精工,中回调,46.26,10.5,33.6,3.2,3.1,2.5,21.39,2.55,15.43,0.167,7.1,上涨:近10日+7% | 回调至MA20(44.92):+3.0% | MACD红柱(已启动) | RSI14=65(正常区) | KDJ金叉(K=69) | 乖离正常:BIAS20=3.0% | 量能健康(1.2xMA20)
64,600888,新疆众和,中回调,8.48,10.5,33.6,4.1,0.0,3.7,21.38,3.3,-21.38,0.245,3.2,小幅涨:近10日+3% | 回调至MA20(8.28):+2.4% | MACD红柱(已启动) | RSI14=64(正常区) | KDJ金叉(K=69) | 乖离正常:BIAS20=2.4% | 量能健康(0.7xMA20) | 量开始放大
65,300818,耐普矿机,中回调,36.17,10.5,33.6,3.6,0.0,5.6,21.34,2.9,,0.37,2.8,小幅涨:近10日+3% | 回调至MA20(35.84):+0.9% | MACD红柱(已启动) | RSI14=63(正常区) | KDJ金叉(K=65) | 乖离正常:BIAS20=0.9% | 量能健康(0.8xMA20) | 量开始放大
66,300443,金雷股份,中回调,30.06,11.0,35.2,0.6,0.0,1.3,21.34,0.48,-70.85,0.09,2.4,小幅涨:近10日+2% | 回调至MA20(29.72):+1.1% | MACD绿柱收窄(-0.0222) | RSI14=48(回升区) | KDJ金叉(K=60) | 乖离正常:BIAS20=1.1% | 量能健康(0.7xMA20)
67,300651,金陵体育,轻回调,29.3,10.0,32.0,0.4,20.0,0.3,21.33,0.35,102.46,0.022,2.4,小幅涨:近10日+2% | 回调至MA10下:-3.1% | MACD红柱(已启动) | RSI14=54(回升区) | 乖离正常:BIAS20=-0.1% | 量能健康(1.0xMA20)
68,2788,鹭燕医药,轻回调,14.62,10.5,33.6,3.5,1.3,3.2,21.32,2.78,6.26,0.215,6.6,上涨:近10日+7% | 回调至MA10下:-12.1% | MACD红柱(已启动) | RSI14=57(正常区) | KDJ超卖J=-3 | 乖离正常:BIAS20=-4.0% | 量能健康(1.1xMA20)
69,603387,基蛋生物,中回调,9.98,10.5,33.6,4.1,0.0,2.6,21.3,3.25,-29.7,0.172,0.8,强势:近20日+20% | 回调至MA20(9.80):+1.8% | MACD绿柱收窄(-0.0155) | RSI14=64(正常区) | KDJ超卖J=13 | 乖离正常:BIAS20=1.8% | 量能健康(0.8xMA20)
70,2518,科士达,中回调,47.61,10.5,33.6,3.8,0.0,3.4,21.29,3.07,-44.82,0.229,2.9,小幅涨:近10日+3% | 回调至MA20(46.28):+2.9% | MACD红柱(已启动) | RSI14=63(正常区) | KDJ金叉(K=68) | 乖离正常:BIAS20=2.9% | 量能健康(1.5xMA20) | 量开始放大
71,300099,尤洛卡,中回调,8.7,11.0,35.2,0.6,0.0,0.1,21.27,0.45,-59.99,0.009,2.6,小幅涨:近10日+3% | 回调至MA20(8.83):-1.4% | MACD绿柱收窄(-0.0225) | RSI14=53(回升区) | KDJ金叉(K=43) | 乖离正常:BIAS20=-1.4% | 量能健康(0.6xMA20)
72,913,钱江摩托,中回调,14.89,9.5,30.4,3.8,18.6,4.0,21.26,3.05,93.18,0.266,4.4,小幅涨:近10日+4% | 回调至MA20(15.01):-0.8% | MACD绿柱收窄(-0.0179) | RSI14=57(正常区) | KDJ超卖J=14 | 乖离正常:BIAS20=-0.8% | 量能健康(0.7xMA20)
73,600361,创新新材,中回调,4.33,10.5,33.6,3.4,1.3,1.0,21.18,2.71,6.31,0.065,4.8,小幅涨:近10日+5% | 回调至MA20(4.23):+2.4% | MACD红柱(已启动) | RSI14=64(正常区) | KDJ金叉(K=61) | 乖离正常:BIAS20=2.4% | 量能健康(1.8xMA20) | 量开始放大
74,2983,芯瑞达,中回调,23.77,10.5,33.6,3.3,0.0,2.8,21.14,2.67,-9.1,0.189,5.2,小幅涨:近10日+5% | 回调至MA20(23.19):+2.5% | MACD红柱(已启动) | RSI14=61(正常区) | KDJ金叉(K=61) | 乖离正常:BIAS20=2.5% | 量能健康(1.2xMA20) | 量开始放大
75,300981,中红医疗,中回调,14.64,11.0,35.2,0.0,0.0,0.1,21.13,0.02,,0.004,10.1,上涨:近10日+10% | 回调至MA20(14.45):+1.3% | MACD绿柱收窄(-0.0021) | RSI14=57(正常区) | KDJ金叉(K=50) | 乖离正常:BIAS20=1.3% | 量能健康(1.2xMA20) | 量开始放大
76,600231,凌钢股份,中回调,2.08,11.0,35.2,0.0,0.0,0.0,21.12,-4.49,-794.92,,2.5,小幅涨:近10日+2% | 回调至MA20(2.08):+0.0% | MACD红柱(已启动) | RSI14=65(正常区) | RSI6金叉RSI14 | KDJ金叉(K=66) | 乖离正常:BIAS20=0.0%
77,2309,中利集团,轻回调,4.45,11.0,35.2,0.0,0.0,0.0,21.12,0.0,,,2.8,强势:近20日+28% | 回调至MA10下:-7.5% | MACD绿柱(-0.0514) | RSI14=53(回升区) | KDJ超卖J=9 | 乖离正常:BIAS20=0.3% | 量能健康(0.7xMA20)
78,2995,天地在线,中回调,24.16,11.0,35.2,0.0,0.0,0.0,21.12,-0.98,,,2.2,小幅涨:近10日+2% | 回调至MA20(24.04):+0.5% | MACD红柱(已启动) | RSI14=52(回升区) | KDJ金叉(K=65) | 乖离正常:BIAS20=0.5% | 量能健康(0.6xMA20)
79,300102,乾照光电,中回调,31.51,11.0,35.2,0.0,0.0,0.0,21.12,-0.14,,,4.0,小幅涨:近10日+4% | 回调至MA20(31.39):+0.4% | MACD红柱(已启动) | RSI14=47(回升区) | KDJ金叉(K=39) | 乖离正常:BIAS20=0.4% | 量能健康(0.7xMA20)
80,600249,两面针,轻回调,6.05,11.0,35.2,0.0,0.0,0.0,21.12,-0.06,-125.15,,5.0,小幅涨:近10日+5% | 回调至MA10下:-6.0% | MACD绿柱收窄(-0.0111) | RSI14=51(回升区) | KDJ超卖J=-1 | 乖离正常:BIAS20=-1.5% | 量能健康(0.8xMA20)
81,2310,东方新能,中回调,3.17,11.0,35.2,0.0,0.0,0.0,21.12,0.0,,,-17.4,强势:近20日+17% | 回调至MA20(3.31):-4.2% | MACD绿柱(-0.0703) | RSI14=35(回升区) | KDJ金叉(K=28) | 乖离正常:BIAS20=-4.2% | 量能健康(0.5xMA20)
82,2427,尤夫股份,中回调,6.51,11.0,35.2,0.0,0.0,0.0,21.12,-2.84,,,3.2,小幅涨:近10日+3% | 回调至MA20(6.58):-1.1% | MACD红柱(已启动) | RSI14=54(回升区) | KDJ金叉(K=65) | 乖离正常:BIAS20=-1.1% | 量能健康(1.0xMA20)
83,688416,恒烁股份,中回调,77.35,11.0,35.2,0.0,0.0,0.0,21.12,-2.21,,,3.7,小幅涨:近10日+4% | 回调至MA20(79.53):-2.7% | MACD红柱(已启动) | RSI14=52(回升区) | KDJ金叉(K=63) | 乖离正常:BIAS20=-2.7% | 量能健康(0.7xMA20)
84,605007,五洲特纸,中回调,14.04,10.0,32.0,6.5,0.0,5.0,21.09,5.23,,0.334,2.9,小幅涨:近10日+3% | 回调至MA20(13.97):+0.5% | MACD红柱(已启动) | RSI14=56(正常区) | KDJ金叉(K=58) | 乖离正常:BIAS20=0.5% | 量能健康(0.6xMA20)
85,758,中色股份,中回调,6.73,9.0,28.8,6.8,20.0,2.4,21.09,5.4,126.87,0.158,2.6,小幅涨:近10日+3% | 回调至MA20(6.65):+1.1% | MACD红柱(已启动) | KDJ金叉(K=69) | 乖离正常:BIAS20=1.1% | 量能健康(0.6xMA20)
