代码,ROE,净利增长,毛利率,EPS
001308,2.59,-27.222,,0.269
000798,-6.76,,,
001359,2.49,,,0.2301
001378,1.37,-21.5563,,0.196
002032,6.89,7.3884,,0.5824
002051,1.03,4.6937,,0.0952
002164,0.55,-18.1466,,0.0138
002206,1.99,10.746,,0.0644
002131,-1.77,-141.8441,,
002204,2.02,24.8793,,0.0738
002216,5.03,-17.8079,,0.2613
002192,0.86,-53.9349,,0.0834
002225,1.9,55.2854,,0.0629
002361,0.31,-31.9422,,0.0051
002550,4.31,21.3009,,0.0792
002461,1.2,37.159,,0.0569
002286,1.18,35.8859,,0.0625
002454,1.56,27.7165,,0.1099
002376,-0.59,,,
002351,4.13,48.3598,,0.1389
002397,0.75,-20.4291,,0.0113
002432,1.32,-56.5849,,0.6353
002406,0.63,47.965,,0.0347
002072,2.53,,,0.0038
002460,-0.91,-127.5258,,
002491,-1.12,-123.014,,
002463,4.98,153.6883,,0.2657
002615,2.13,1167.636,,0.0684
002571,0.46,,,0.0121
002669,-0.84,,,
002597,1.78,-47.3634,,0.2266
002795,-3.0,,,
002722,1.35,88.1633,,0.1669
002752,3.79,139.7077,,0.1294
002767,0.52,41.7679,,0.0257
002810,2.49,-26.3715,,0.1569
002793,-1.57,,,
002853,-0.61,,,
002878,1.85,,,0.1208
002971,2.28,-1.5005,,0.1885
002850,2.86,25.8722,,1.1428
002897,3.68,845.8732,,0.5037
002890,0.89,-11.7476,,0.0406
002902,-1.86,-512.6689,,
002952,0.89,-55.8035,,0.0462
003036,1.4,0.8126,,0.097
300031,2.34,6.4483,,0.2703
002996,1.6,5.1096,,0.1173
300210,-3.65,,,
300009,5.49,17.5225,,0.1324
300041,2.74,-34.3097,,0.1406
300034,2.75,75.2521,,0.1661
300233,2.22,62.4626,,0.2323
300243,0.85,-44.7197,,0.039
300331,1.0,,,0.0566
300303,2.34,26.0815,,0.0549
300428,3.97,140.2112,,0.4496
300404,1.72,39.7891,,0.0452
300497,0.06,,,0.003
300447,1.6,-48.3587,,0.1049
