date,close,predict,prob_up,real,correct,ret,equity
2024-09-19,25.6,跌↓,50.2,涨↑,✗,+1.21%,0.7331
2024-09-20,25.91,跌↓,45.2,跌↓,✓,-2.97%,0.7331
2024-09-23,25.14,涨↑,54.5,涨↑,✓,+4.57%,0.7667
2024-09-24,26.29,跌↓,46.8,跌↓,✓,-2.17%,0.7667
2024-09-25,25.72,涨↑,55.8,涨↑,✓,+6.34%,0.8152
2024-09-26,27.35,跌↓,50.2,涨↑,✗,+4.31%,0.8152
2024-09-27,28.53,跌↓,51.7,涨↑,✗,+9.74%,0.8152
2024-09-30,31.31,跌↓,49.0,跌↓,✓,-3.07%,0.8152
2024-10-08,30.35,涨↑,56.9,跌↓,✗,-8.07%,0.7494
2024-10-09,27.9,涨↑,54.5,涨↑,✓,+10.00%,0.8244
2024-10-10,30.69,跌↓,43.3,跌↓,✓,-6.74%,0.8244
2024-10-11,28.62,涨↑,54.1,涨↑,✓,+1.12%,0.8336
2024-10-14,28.94,跌↓,42.5,跌↓,✓,-0.52%,0.8336
2024-10-15,28.79,跌↓,52.3,跌↓,✓,-1.60%,0.8336
2024-10-16,28.33,涨↑,56.1,跌↓,✗,-1.80%,0.8186
2024-10-17,27.82,涨↑,60.7,涨↑,✓,+2.37%,0.838
2024-10-18,28.48,跌↓,45.5,涨↑,✗,+0.42%,0.838
2024-10-21,28.6,涨↑,53.0,涨↑,✓,+1.57%,0.8512
2024-10-22,29.05,跌↓,48.2,跌↓,✓,-0.72%,0.8512
2024-10-23,28.84,涨↑,57.3,跌↓,✗,-1.66%,0.837
2024-10-24,28.36,涨↑,58.0,涨↑,✓,+1.41%,0.8488
2024-10-25,28.76,跌↓,49.0,涨↑,✗,+1.32%,0.8488
2024-10-28,29.14,跌↓,47.7,涨↑,✗,+3.67%,0.8488
2024-10-29,30.21,跌↓,46.6,涨↑,✗,+7.08%,0.8488
2024-09-25,25.72,涨↑,55.7,涨↑,✓,+6.34%,0.9026
2024-09-26,27.35,跌↓,46.1,涨↑,✗,+4.31%,0.9026
2024-09-27,28.53,跌↓,49.3,涨↑,✗,+9.74%,0.9026
2024-09-30,31.31,跌↓,44.6,跌↓,✓,-3.07%,0.9026
2024-10-08,30.35,涨↑,54.8,跌↓,✗,-8.07%,0.8298
2024-10-09,27.9,跌↓,52.3,涨↑,✗,+10.00%,0.8298
2024-10-10,30.69,跌↓,38.5,跌↓,✓,-6.74%,0.8298
2024-10-11,28.62,跌↓,51.5,涨↑,✗,+1.12%,0.8298
2024-10-14,28.94,跌↓,41.5,跌↓,✓,-0.52%,0.8298
2024-10-15,28.79,跌↓,44.3,跌↓,✓,-1.60%,0.8298
2024-10-16,28.33,跌↓,48.3,跌↓,✓,-1.80%,0.8298
2024-10-17,27.82,涨↑,56.9,涨↑,✓,+2.37%,0.8494
2024-10-18,28.48,跌↓,41.0,涨↑,✗,+0.42%,0.8494
2024-10-21,28.6,跌↓,47.6,涨↑,✗,+1.57%,0.8494
2024-10-22,29.05,跌↓,44.7,跌↓,✓,-0.72%,0.8494
2024-10-23,28.84,涨↑,55.6,跌↓,✗,-1.66%,0.8353
2024-10-24,28.36,涨↑,60.0,涨↑,✓,+1.41%,0.8471
2024-10-25,28.76,涨↑,53.5,涨↑,✓,+1.32%,0.8583
2024-10-28,29.14,跌↓,47.1,涨↑,✗,+3.67%,0.8583
2024-10-29,30.21,跌↓,46.8,涨↑,✗,+7.08%,0.8583
2024-10-30,32.35,跌↓,48.6,跌↓,✓,-3.00%,0.8583
2024-10-31,31.38,跌↓,51.5,跌↓,✓,-4.72%,0.8583
2024-11-01,29.9,跌↓,48.1,涨↑,✗,+2.34%,0.8583
2024-11-04,30.6,跌↓,42.5,涨↑,✗,+0.13%,0.8583
2024-11-05,30.64,跌↓,45.9,涨↑,✗,+0.20%,0.8583
2024-11-06,30.7,跌↓,41.6,涨↑,✗,+3.58%,0.8583
2024-11-07,31.8,跌↓,35.4,跌↓,✓,-3.24%,0.8583
2024-11-08,30.77,跌↓,51.8,涨↑,✗,+0.26%,0.8583
2024-11-11,30.85,跌↓,38.7,涨↑,✗,+0.62%,0.8583
2024-11-12,31.04,跌↓,49.7,跌↓,✓,-1.64%,0.8583
2024-10-16,28.33,跌↓,49.3,跌↓,✓,-1.80%,0.8583
2024-10-17,27.82,涨↑,56.7,涨↑,✓,+2.37%,0.8786
2024-10-18,28.48,跌↓,39.7,涨↑,✗,+0.42%,0.8786
2024-10-21,28.6,跌↓,48.9,涨↑,✗,+1.57%,0.8786
2024-10-22,29.05,跌↓,44.8,跌↓,✓,-0.72%,0.8786
2024-10-23,28.84,涨↑,56.8,跌↓,✗,-1.66%,0.864
2024-10-24,28.36,涨↑,59.5,涨↑,✓,+1.41%,0.8762
