date,close,predict,real,correct,ret,equity
2025-10-10,1430.0,涨↑,跌↓,✗,-0.76%,0.9955
2025-10-13,1419.2,涨↑,涨↑,✓,+2.24%,1.0179
2025-10-14,1451.02,跌↓,涨↑,✗,+0.76%,1.0179
2025-10-15,1462.0,跌↓,涨↑,✗,+1.57%,1.0179
2025-10-16,1484.91,跌↓,跌↓,✓,-2.01%,1.0179
2025-10-17,1455.0,涨↑,涨↑,✓,+0.20%,1.0199
2025-10-20,1457.93,涨↑,涨↑,✓,+0.30%,1.0229
2025-10-21,1462.26,涨↑,跌↓,✗,-0.24%,1.0205
2025-10-22,1458.7,跌↓,涨↑,✗,+0.64%,1.0205
2025-10-23,1467.98,涨↑,跌↓,✗,-1.22%,1.008
2025-10-24,1450.0,涨↑,跌↓,✗,-0.66%,1.0013
2025-10-27,1440.41,跌↓,涨↑,✗,+0.32%,1.0013
2025-10-28,1445.0,跌↓,跌↓,✓,-0.91%,1.0013
2025-10-29,1431.9,跌↓,跌↓,✓,-0.36%,1.0013
2025-10-30,1426.74,跌↓,涨↑,✗,+0.23%,1.0013
2025-10-31,1430.01,跌↓,涨↑,✗,+0.35%,1.0013
2025-11-03,1435.0,涨↑,跌↓,✗,-0.42%,0.9971
2025-11-04,1429.0,涨↑,跌↓,✗,-0.62%,0.9909
2025-11-05,1420.08,涨↑,涨↑,✓,+1.06%,1.0014
2025-11-06,1435.13,涨↑,跌↓,✗,-0.13%,1.0001
2025-11-07,1433.33,涨↑,涨↑,✓,+2.02%,1.0203
2025-11-10,1462.3,涨↑,跌↓,✗,-0.23%,1.018
2025-11-11,1458.99,跌↓,涨↑,✗,+0.42%,1.018
2025-11-12,1465.15,涨↑,涨↑,✓,+0.36%,1.0217
2025-11-13,1470.38,涨↑,跌↓,✗,-0.94%,1.0121
2025-11-14,1456.6,涨↑,涨↑,✓,+0.99%,1.0221
2025-11-17,1471.0,跌↓,涨↑,✗,+0.34%,1.0221
2025-11-18,1476.0,跌↓,跌↓,✓,-0.34%,1.0221
2025-11-19,1471.01,跌↓,跌↓,✓,-0.27%,1.0221
2025-11-20,1467.11,涨↑,跌↓,✗,-0.03%,1.0217
2025-11-21,1466.6,跌↓,跌↓,✓,-1.00%,1.0217
2025-11-24,1452.0,涨↑,跌↓,✗,-0.51%,1.0166
2025-11-25,1444.65,跌↓,涨↑,✗,+0.31%,1.0166
2025-11-26,1449.15,跌↓,跌↓,✓,-0.13%,1.0166
2025-11-27,1447.3,跌↓,涨↑,✗,+0.22%,1.0166
2025-11-28,1450.5,涨↑,跌↓,✗,-0.17%,1.0148
2025-12-01,1448.0,跌↓,跌↓,✓,-0.83%,1.0148
2025-12-02,1436.03,涨↑,跌↓,✗,-0.48%,1.0099
2025-12-03,1429.1,涨↑,跌↓,✗,-0.36%,1.0063
2025-12-04,1423.98,涨↑,涨↑,✓,+0.42%,1.0106
2025-12-05,1430.01,跌↓,跌↓,✓,-0.82%,1.0106
2025-12-08,1418.22,跌↓,跌↓,✓,-1.21%,1.0106
2025-12-09,1401.01,跌↓,涨↑,✗,+0.13%,1.0106
2025-12-10,1402.8,跌↓,涨↑,✗,+0.66%,1.0106
2025-12-11,1411.99,涨↑,涨↑,✓,+0.61%,1.0168
2025-12-12,1420.65,跌↓,涨↑,✗,+0.38%,1.0168
2025-12-15,1426.0,涨↑,跌↓,✗,-0.28%,1.0139
2025-12-16,1422.0,涨↑,涨↑,✓,+0.78%,1.0218
2025-12-17,1433.1,跌↓,跌↓,✓,-0.15%,1.0218
2025-12-18,1431.0,涨↑,跌↓,✗,-1.47%,1.0068
