代码,名称,数据日期,综合得分,回调深度,收盘价,MA5,MA10,MA20,MA60,RSI6,RSI14,MACD柱,KDJ_K,KDJ_D,KDJ_J,量/MA20量,近10日涨幅%,近20日涨幅%,ATR,BIAS5,详细理由
002414,高德红外,2026-04-13,6.0,深回调,13.74,13.36,13.07,13.22,15.33,77.9,69.8,0.1908,74.5,57.9,107.9,1.14,5.9,-2.7,0.39,2.8,小幅涨:近10日+6% | 回调至MA60(15.33) | MACD红柱(已启动) | 量能健康(1.1xMA20) | 量开始放大
002416,爱施德,2026-04-13,6.0,深回调,13.58,13.25,13.08,12.93,13.26,96.8,82.6,0.0977,73.2,68.7,82.3,1.4,5.3,0.7,0.49,2.5,小幅涨:近10日+5% | 回调至MA60(13.26) | MACD红柱(已启动) | 量能健康(1.4xMA20) | 量开始放大
002429,兆驰股份,2026-04-13,6.0,深回调,10.36,10.11,9.86,9.93,9.96,92.9,72.0,0.0651,76.3,62.8,103.4,0.72,6.7,-13.2,0.44,2.5,上涨:近10日+7% | 回调至MA60(9.96) | MACD红柱(已启动) | 量能健康(0.7xMA20)
002439,启明星辰,2026-04-13,6.0,深回调,14.26,13.17,12.99,13.36,14.19,80.6,62.5,0.097,61.8,39.7,106.0,2.15,9.4,-3.6,0.4,8.3,"上涨:近10日+9% | 回调至MA60(14.19) | MACD红柱(已启动) | RSI14=63(正常区) | KDJ金叉(K=62) | 量开始放大 | 偏离MA5过大,追高风险 | 突破MA5较多,追涨风险"
002448,中原内配,2026-04-13,6.0,深回调,15.12,14.81,14.49,14.52,14.72,67.8,69.8,0.0971,76.7,66.3,97.4,0.95,4.6,-6.6,0.66,2.1,小幅涨:近10日+5% | 回调至MA60(14.72) | MACD红柱(已启动) | 量能健康(1.0xMA20) | 量开始放大
002458,益生股份,2026-04-13,6.0,深回调,9.88,9.56,9.39,9.42,9.51,83.1,71.4,0.0523,81.8,69.7,106.2,1.23,5.1,-0.1,0.29,3.4,小幅涨:近10日+5% | 回调至MA60(9.51) | MACD红柱(已启动) | 量能健康(1.2xMA20) | 量开始放大
002515,金字火腿,2026-04-13,6.0,深回调,6.24,5.77,5.66,5.75,5.96,78.0,63.9,0.0434,67.3,47.6,106.7,4.15,7.8,0.5,0.24,8.1,"上涨:近10日+8% | 回调至MA60(5.96) | MACD红柱(已启动) | RSI14=64(正常区) | KDJ金叉(K=67) | 量开始放大 | 偏离MA5过大,追高风险 | 突破MA5较多,追涨风险"
002532,天山铝业,2026-04-13,6.0,深回调,18.03,18.44,18.09,17.18,17.98,51.0,74.4,0.199,67.6,73.8,55.2,0.62,11.8,-3.4,0.88,-2.2,上涨:近10日+12% | 回调至MA60(17.98) | MACD红柱(已启动) | 量能健康(0.6xMA20)
002540,亚太科技,2026-04-13,6.0,深回调,6.83,6.76,6.66,6.57,7.16,76.6,79.0,0.0751,83.5,79.3,91.8,0.61,6.1,-4.1,0.17,1.0,上涨:近10日+6% | 回调至MA60(7.16) | MACD红柱(已启动) | 量能健康(0.6xMA20)
002559,亚威股份,2026-04-13,6.0,深回调,10.24,9.89,9.56,9.7,10.2,95.2,66.8,0.11,79.2,60.9,115.7,0.84,8.1,-0.1,0.38,3.6,上涨:近10日+8% | 回调至MA60(10.20) | MACD红柱(已启动) | 量能健康(0.8xMA20)
