板块,代码,名称,现价,涨跌%,成交额(亿),换手%,板块总成交额(亿)
IT服务Ⅱ,600410,华胜天成,2.55,-1.11%,30.437,10.31,522.7
IT服务Ⅱ,000815,美利云,12.04,+5.74%,28.762,20.9,522.7
电网设备,600089,特变电工,2.07,-0.63%,34.883,2.59,508.9
电网设备,002028,思源电气,4.92,-4.65%,31.810,2.6,508.9
电网设备,601179,中国西电,2.86,-1.62%,24.788,3.07,508.9
电网设备,000400,许继电气,2.35,-9.90%,23.427,8.99,508.9
电网设备,002560,通达股份,7.66,+5.23%,22.475,35.97,508.9
传媒,300058,蓝色光标,5.88,+0.30%,72.280,12.59,494.8
传媒,002558,巨人网络,12.7,-8.80%,48.321,7.92,494.8
传媒,002517,恺英网络,6.54,-10.00%,31.639,9.06,494.8
传媒,002602,世纪华通,6.27,-3.85%,25.623,2.31,494.8
传媒,002624,完美世界,7.78,-2.69%,19.809,5.58,494.8
电池化学品,300390,天华新能,18.18,+17.42%,83.558,16.55,486.3
电池化学品,002709,天赐材料,3.34,-0.02%,52.597,7.47,486.3
电池化学品,301292,海科新源,11.87,+4.16%,28.513,38.69,486.3
电池化学品,603659,璞泰来,5.68,+2.91%,28.174,3.81,486.3
电池化学品,603026,石大胜华,7.49,+5.17%,24.133,11.77,486.3
非银金融,300059,东方财富,3.8,+1.27%,69.050,2.59,482.1
非银金融,600030,中信证券,3.05,+0.73%,55.912,1.77,482.1
非银金融,601318,中国平安,1.02,-1.82%,39.595,0.64,482.1
非银金融,000617,中油资本,3.22,-1.75%,26.124,2.04,482.1
非银金融,600864,哈投股份,12.8,+5.26%,20.101,13.34,482.1
电力,001896,豫能控股,9.16,+9.08%,22.099,10.4,468.7
电力,002015,协鑫能科,2.88,+0.86%,18.420,6.51,468.7
电力,000155,川能动力,5.78,+4.22%,18.316,5.84,468.7
电力,601778,晶科科技,10.89,+8.51%,18.045,9.57,468.7
电力,600821,金开新能,4.88,+3.38%,17.136,10.7,468.7
化学制药,600276,恒瑞医药,2.86,-3.26%,44.316,1.25,454.6
化学制药,603538,美诺华,6.92,-3.07%,33.451,32.13,454.6
化学制药,300255,常山药业,10.28,+8.06%,21.287,5.27,454.6
化学制药,002082,万邦德,6.01,-3.69%,13.974,8.84,454.6
化学制药,300497,富祥药业,4.72,+2.98%,12.619,15.28,454.6
通信线缆及配套,600487,亨通光电,5.09,-4.45%,109.912,8.32,447.4
通信线缆及配套,601869,长飞光纤,4.13,-3.95%,84.250,5.67,447.4
通信线缆及配套,600105,永鼎股份,7.64,+1.57%,82.697,14.88,447.4
通信线缆及配套,600522,中天科技,4.36,-4.30%,62.144,6.35,447.4
通信线缆及配套,002491,通鼎互联,11.45,+1.58%,38.554,22.37,447.4
工业金属,601899,紫金矿业,1.45,-0.27%,59.217,0.86,435.2
工业金属,603993,洛阳钼业,2.0,-0.53%,31.645,0.96,435.2
工业金属,601600,中国铝业,2.59,-1.54%,29.622,1.86,435.2
工业金属,601020,华钰矿业,6.57,+6.64%,19.608,8.07,435.2
工业金属,600362,江西铜业,1.78,+1.43%,16.968,1.8,435.2
专用设备,002837,英维克,4.29,+3.85%,62.269,7.18,431.3
专用设备,002353,杰瑞股份,5.24,-4.88%,30.333,3.9,431.3
专用设备,300499,高澜股份,5.67,+4.77%,17.223,15.82,431.3
专用设备,688630,芯碁微装,4.0,-2.63%,15.583,4.91,431.3
专用设备,301128,强瑞技术,9.54,-1.84%,12.465,8.37,431.3
光学光电子,600703,三安光电,6.2,+4.27%,37.164,6.02,412.4
